lead:deal_name,contact:name,contact:email,company:name
QA_DYN_29001,Kim Minsoo,qa.dyn.inst.29001.574797@yopmail.com,삼성전자(주)
QA_DYN_29002,Lee Jiyoon,qa.dyn.inst.29002.380530@yopmail.com,LG전자(주)
QA_DYN_29003,Park Hyunwoo,qa.dyn.inst.29003.459891@yopmail.com,SK하이닉스(주)
QA_DYN_29004,Choi Aram,qa.dyn.inst.29004.231664@yopmail.com,현대자동차(주)
QA_DYN_29005,Jung Sora,qa.dyn.inst.29005.444905@yopmail.com,롯데케미칼(주)
QA_DYN_29006,Kim Minsoo,qa.dyn.inst.29006.397516@yopmail.com,삼성전자(주)
QA_DYN_29007,Wěi Wáng,qa.dyn.inst.29007.113289@yopmail.com,카카오(주)
QA_DYN_29008,Han Yerin,qa.dyn.inst.29008.189644@yopmail.com,네이버(주)
QA_DYN_29009,No Company User,qa.dyn.inst.29009.107934@yopmail.com,LG전자(주)
QA_DYN_29010,Lim Doyeon,qa.dyn.inst.29010.836792@yopmail.com,포스코홀딩스(주)
QA_DYN_29011,Kim Minsoo,qa.dyn.inst.29011.227689@yopmail.com,삼성전자(주)
QA_DYN_29012,Lee Jiyoon,qa.dyn.inst.29012.493676@yopmail.com,LG전자(주)
QA_DYN_29013,Park Hyunwoo,qa.dyn.inst.29013.911684@yopmail.com,SK하이닉스(주)
QA_DYN_29014,Choi Aram,qa.dyn.inst.29014.797608@yopmail.com,현대자동차(주)
QA_DYN_29015,Jung Sora,qa.dyn.inst.29015.456023@yopmail.com,롯데케미칼(주)
QA_DYN_29016,Kim Minsoo,qa.dyn.inst.29016.838430@yopmail.com,삼성전자(주)
QA_DYN_29017,Wěi Wáng,qa.dyn.inst.29017.969995@yopmail.com,카카오(주)
QA_DYN_29018,Han Yerin,qa.dyn.inst.29018.139629@yopmail.com,네이버(주)
QA_DYN_29019,No Company User,qa.dyn.inst.29019.850547@yopmail.com,LG전자(주)
QA_DYN_29020,Lim Doyeon,qa.dyn.inst.29020.418843@yopmail.com,포스코홀딩스(주)
QA_DYN_29021,Kim Minsoo,qa.dyn.inst.29021.776281@yopmail.com,삼성전자(주)
QA_DYN_29022,Lee Jiyoon,qa.dyn.inst.29022.525305@yopmail.com,LG전자(주)
QA_DYN_29023,Park Hyunwoo,qa.dyn.inst.29023.363299@yopmail.com,SK하이닉스(주)
QA_DYN_29024,Choi Aram,qa.dyn.inst.29024.682609@yopmail.com,현대자동차(주)
QA_DYN_29025,Jung Sora,qa.dyn.inst.29025.950693@yopmail.com,롯데케미칼(주)
QA_DYN_29026,Kim Minsoo,qa.dyn.inst.29026.759599@yopmail.com,삼성전자(주)
QA_DYN_29027,Wěi Wáng,qa.dyn.inst.29027.291059@yopmail.com,카카오(주)
QA_DYN_29028,Han Yerin,qa.dyn.inst.29028.141166@yopmail.com,네이버(주)
QA_DYN_29029,No Company User,qa.dyn.inst.29029.544612@yopmail.com,LG전자(주)
QA_DYN_29030,Lim Doyeon,qa.dyn.inst.29030.619618@yopmail.com,포스코홀딩스(주)
QA_DYN_29031,Kim Minsoo,qa.dyn.inst.29031.988928@yopmail.com,삼성전자(주)
QA_DYN_29032,Lee Jiyoon,qa.dyn.inst.29032.640846@yopmail.com,LG전자(주)
QA_DYN_29033,Park Hyunwoo,qa.dyn.inst.29033.605057@yopmail.com,SK하이닉스(주)
QA_DYN_29034,Choi Aram,qa.dyn.inst.29034.708276@yopmail.com,현대자동차(주)
QA_DYN_29035,Jung Sora,qa.dyn.inst.29035.407816@yopmail.com,롯데케미칼(주)
QA_DYN_29036,Kim Minsoo,qa.dyn.inst.29036.317531@yopmail.com,삼성전자(주)
QA_DYN_29037,Wěi Wáng,qa.dyn.inst.29037.671922@yopmail.com,카카오(주)
QA_DYN_29038,Han Yerin,qa.dyn.inst.29038.252553@yopmail.com,네이버(주)
QA_DYN_29039,No Company User,qa.dyn.inst.29039.806196@yopmail.com,LG전자(주)
QA_DYN_29040,Lim Doyeon,qa.dyn.inst.29040.402081@yopmail.com,포스코홀딩스(주)
QA_DYN_29041,Kim Minsoo,qa.dyn.inst.29041.774455@yopmail.com,삼성전자(주)
QA_DYN_29042,Lee Jiyoon,qa.dyn.inst.29042.252825@yopmail.com,LG전자(주)
QA_DYN_29043,Park Hyunwoo,qa.dyn.inst.29043.445012@yopmail.com,SK하이닉스(주)
QA_DYN_29044,Choi Aram,qa.dyn.inst.29044.854023@yopmail.com,현대자동차(주)
QA_DYN_29045,Jung Sora,qa.dyn.inst.29045.455924@yopmail.com,롯데케미칼(주)
