lead:deal_name,contact:name,contact:email,company:name
QA_DYN_0399001,Park Hyunwoo,qa.dyn.inst.0399001.497426@yopmail.com,POSCO Holdings
QA_DYN_0399002,Jung Minsoo,qa.dyn.inst.0399002.730755@yopmail.com,LG Electronics
QA_DYN_0399003,Yoon Jiyoon,qa.dyn.inst.0399003.187908@yopmail.com,NAVER
QA_DYN_0399004,Lee Aram,qa.dyn.inst.0399004.499602@yopmail.com,POSCO Holdings
QA_DYN_0399005,Cho Doyun,qa.dyn.inst.0399005.669526@yopmail.com,LG Electronics
QA_DYN_0399006,Kang Haneul,qa.dyn.inst.0399006.967163@yopmail.com,NAVER
QA_DYN_0399007,Kim Seoyeon,qa.dyn.inst.0399007.292201@yopmail.com,POSCO Holdings
QA_DYN_0399008,Choi Jiho,qa.dyn.inst.0399008.978276@yopmail.com,LG Electronics
QA_DYN_0399009,Lim Eunseo,qa.dyn.inst.0399009.590992@yopmail.com,NAVER
QA_DYN_0399010,Han Sora,qa.dyn.inst.0399010.139890@yopmail.com,POSCO Holdings
QA_DYN_0399011,Park Minsoo,qa.dyn.inst.0399011.183479@yopmail.com,LG Electronics
QA_DYN_0399012,Jung Haneul,qa.dyn.inst.0399012.636889@yopmail.com,NAVER
QA_DYN_0399013,Yoon Seoyeon,qa.dyn.inst.0399013.578301@yopmail.com,POSCO Holdings
QA_DYN_0399014,Lee Jiho,qa.dyn.inst.0399014.646457@yopmail.com,LG Electronics
QA_DYN_0399015,Cho Eunseo,qa.dyn.inst.0399015.177588@yopmail.com,NAVER
QA_DYN_0399016,Kang Sora,qa.dyn.inst.0399016.398540@yopmail.com,POSCO Holdings
QA_DYN_0399017,Kim Hyunwoo,qa.dyn.inst.0399017.541121@yopmail.com,LG Electronics
QA_DYN_0399018,Choi Minsoo,qa.dyn.inst.0399018.695163@yopmail.com,NAVER
QA_DYN_0399019,Lim Jiyoon,qa.dyn.inst.0399019.843593@yopmail.com,POSCO Holdings
QA_DYN_0399020,Han Doyun,qa.dyn.inst.0399020.997066@yopmail.com,LG Electronics
QA_DYN_0399021,Park Aram,qa.dyn.inst.0399021.471740@yopmail.com,NAVER
