lead:deal_name,contact:name,contact:email,company:name
QA_INST_50001,Park Hyunwoo,qa.inst.new.50001.776592@yopmail.com,포스코홀딩스(주)
QA_INST_50002,Jung Minsoo,qa.inst.new.50002.864228@yopmail.com,LG전자(주)
QA_INST_50003,Yoon Jiyoon,qa.inst.new.50003.718611@yopmail.com,네이버(주)
QA_INST_50004,Lee Aram,qa.inst.new.50004.693252@yopmail.com,현대자동차(주)
QA_INST_50005,Park Hyunwoo,qa.inst.new.50005.392642@yopmail.com,롯데케미칼(주)
QA_INST_50006,Jung Haneul,qa.inst.new.50006.290724@yopmail.com,카카오(주)
QA_INST_50007,Cho Doyun,qa.inst.new.50007.545966@yopmail.com,한화솔루션(주)
QA_INST_50008,Jung Hyunwoo,qa.inst.new.50008.313706@yopmail.com,한화솔루션(주)
QA_INST_50009,Choi Minsoo,qa.inst.new.50009.849335@yopmail.com,한화솔루션(주)
QA_INST_50010,Jung Jiyoon,qa.inst.new.50010.277038@yopmail.com,삼성전자(주)
QA_INST_50011,Cho Sora,qa.inst.new.50011.520194@yopmail.com,현대자동차(주)
QA_INST_50012,Lee Doyun,qa.inst.new.50012.854036@yopmail.com,포스코홀딩스(주)
QA_INST_50013,Choi Sora,qa.inst.new.50013.892816@yopmail.com,포스코홀딩스(주)
QA_INST_50014,Lee Doyun,qa.inst.new.50014.531331@yopmail.com,롯데케미칼(주)
QA_INST_50015,Yoon Eunseo,qa.inst.new.50015.185097@yopmail.com,포스코홀딩스(주)
QA_INST_50016,Jung Eunseo,qa.inst.new.50016.155066@yopmail.com,카카오(주)
QA_INST_50017,Kim Jiho,qa.inst.new.50017.312292@yopmail.com,현대자동차(주)
QA_INST_50018,Cho Aram,qa.inst.new.50018.831482@yopmail.com,포스코홀딩스(주)
QA_INST_50019,Kim Seoyeon,qa.inst.new.50019.973010@yopmail.com,한화솔루션(주)
QA_INST_50020,Yoon Eunseo,qa.inst.new.50020.805170@yopmail.com,삼성전자(주)
QA_INST_50021,Kim Minsoo,qa.inst.new.50021.888788@yopmail.com,한화솔루션(주)
QA_INST_50022,Cho Sora,qa.inst.new.50022.311766@yopmail.com,카카오(주)
QA_INST_50023,Cho Minsoo,qa.inst.new.50023.597293@yopmail.com,삼성전자(주)
QA_INST_50024,Park Aram,qa.inst.new.50024.609535@yopmail.com,SK하이닉스(주)
QA_INST_50025,Kim Aram,qa.inst.new.50025.845962@yopmail.com,삼성전자(주)
QA_INST_50026,Lee Hyunwoo,qa.inst.new.50026.403596@yopmail.com,한화솔루션(주)
QA_INST_50027,Park Doyun,qa.inst.new.50027.717154@yopmail.com,네이버(주)
QA_INST_50028,Lee Jiho,qa.inst.new.50028.201416@yopmail.com,쿠팡(주)
QA_INST_50029,Choi Eunseo,qa.inst.new.50029.849115@yopmail.com,현대자동차(주)
QA_INST_50030,Choi Aram,qa.inst.new.50030.862484@yopmail.com,삼성전자(주)
QA_INST_50031,Kim Sora,qa.inst.new.50031.530501@yopmail.com,쿠팡(주)
QA_INST_50032,Jung Minsoo,qa.inst.new.50032.211063@yopmail.com,쿠팡(주)
QA_INST_50033,Choi Hyunwoo,qa.inst.new.50033.214308@yopmail.com,LG전자(주)
QA_INST_50034,Park Minsoo,qa.inst.new.50034.679623@yopmail.com,네이버(주)
QA_INST_50035,Jung Eunseo,qa.inst.new.50035.891731@yopmail.com,SK하이닉스(주)
QA_INST_50036,Kim Eunseo,qa.inst.new.50036.935344@yopmail.com,포스코홀딩스(주)
QA_INST_50037,Cho Minsoo,qa.inst.new.50037.999969@yopmail.com,롯데케미칼(주)
QA_INST_50038,Kang Doyun,qa.inst.new.50038.109697@yopmail.com,한화솔루션(주)
QA_INST_50039,Kim Haneul,qa.inst.new.50039.956367@yopmail.com,쿠팡(주)
QA_INST_50040,Cho Seoyeon,qa.inst.new.50040.938908@yopmail.com,네이버(주)
QA_INST_50041,Kim Hyunwoo,qa.inst.new.50041.203374@yopmail.com,쿠팡(주)
QA_INST_50042,Lee Jiyoon,qa.inst.new.50042.195307@yopmail.com,한화솔루션(주)
QA_INST_50043,Lee Jiho,qa.inst.new.50043.185551@yopmail.com,쿠팡(주)
QA_INST_50044,Park Aram,qa.inst.new.50044.634866@yopmail.com,SK하이닉스(주)
QA_INST_50045,Park Jiyoon,qa.inst.new.50045.676074@yopmail.com,삼성전자(주)
QA_INST_50046,Yoon Jiho,qa.inst.new.50046.609896@yopmail.com,한화솔루션(주)
QA_INST_50047,Kang Aram,qa.inst.new.50047.940797@yopmail.com,현대자동차(주)
QA_INST_50048,Kang Eunseo,qa.inst.new.50048.581256@yopmail.com,롯데케미칼(주)
QA_INST_50049,Park Sora,qa.inst.new.50049.220983@yopmail.com,네이버(주)
QA_INST_50050,Jung Jiho,qa.inst.new.50050.852897@yopmail.com,네이버(주)
QA_INST_50051,Yoon Doyun,qa.inst.new.50051.207724@yopmail.com,카카오(주)
QA_INST_50052,Cho Haneul,qa.inst.new.50052.810405@yopmail.com,삼성전자(주)
QA_INST_50053,Park Haneul,qa.inst.new.50053.816091@yopmail.com,포스코홀딩스(주)
QA_INST_50054,Choi Aram,qa.inst.new.50054.416248@yopmail.com,쿠팡(주)
QA_INST_50055,Lee Haneul,qa.inst.new.50055.565915@yopmail.com,LG전자(주)
QA_INST_50056,Jung Doyun,qa.inst.new.50056.483313@yopmail.com,현대자동차(주)
QA_INST_50057,Choi Hyunwoo,qa.inst.new.50057.783400@yopmail.com,현대자동차(주)
QA_INST_50058,Cho Jiyoon,qa.inst.new.50058.899985@yopmail.com,롯데케미칼(주)
QA_INST_50059,Jung Jiho,qa.inst.new.50059.326302@yopmail.com,포스코홀딩스(주)
QA_INST_50060,Kang Sora,qa.inst.new.50060.676607@yopmail.com,삼성전자(주)
QA_INST_50061,Kang Aram,qa.inst.new.50061.110209@yopmail.com,한화솔루션(주)
QA_INST_50062,Choi Haneul,qa.inst.new.50062.552099@yopmail.com,쿠팡(주)
QA_INST_50063,Jung Eunseo,qa.inst.new.50063.564808@yopmail.com,현대자동차(주)
QA_INST_50064,Park Hyunwoo,qa.inst.new.50064.777422@yopmail.com,한화솔루션(주)
QA_INST_50065,Kang Sora,qa.inst.new.50065.542409@yopmail.com,현대자동차(주)
