lead:deal_name,contact:name,contact:email,company:name
QA_DYN_99001,Yoon Minsoo,qa.dyn.inst.99001.423527@yopmail.com,Coupang
QA_DYN_99002,Yoon Minsoo,qa.dyn.inst.99002.371474@yopmail.com,Hyundai Motor
QA_DYN_99003,Lee Jiyoon,qa.dyn.inst.99003.157315@yopmail.com,Lotte Chemical
QA_DYN_99004,Park Jiyoon,qa.dyn.inst.99004.172839@yopmail.com,Hanwha Solutions
QA_DYN_99005,Cho Doyun,qa.dyn.inst.99005.601452@yopmail.com,SK hynix
QA_DYN_99006,Kim Hyunwoo,qa.dyn.inst.99006.843829@yopmail.com,Samsung Electronics
QA_DYN_99007,Kang Aram,qa.dyn.inst.99007.995239@yopmail.com,SK hynix
QA_DYN_99008,Choi Seoyeon,qa.dyn.inst.99008.321271@yopmail.com,POSCO Holdings
QA_DYN_99009,Kim Sora,qa.dyn.inst.99009.655307@yopmail.com,LG Electronics
QA_DYN_99010,Choi Minsoo,qa.dyn.inst.99010.826700@yopmail.com,Coupang
QA_DYN_99011,Kim Haneul,qa.dyn.inst.99011.866364@yopmail.com,Hyundai Motor
QA_DYN_99012,Yoon Haneul,qa.dyn.inst.99012.167265@yopmail.com,SK hynix
QA_DYN_99013,Kim Eunseo,qa.dyn.inst.99013.948273@yopmail.com,NAVER
QA_DYN_99014,Choi Aram,qa.dyn.inst.99014.700631@yopmail.com,LG Electronics
QA_DYN_99015,Park Hyunwoo,qa.dyn.inst.99015.939977@yopmail.com,Hanwha Solutions
QA_DYN_99016,Lee Sora,qa.dyn.inst.99016.726288@yopmail.com,Samsung Electronics
QA_DYN_99017,Park Hyunwoo,qa.dyn.inst.99017.837866@yopmail.com,POSCO Holdings
QA_DYN_99018,Park Minsoo,qa.dyn.inst.99018.915710@yopmail.com,POSCO Holdings
QA_DYN_99019,Kim Jiho,qa.dyn.inst.99019.421725@yopmail.com,LG Electronics
QA_DYN_99020,Kim Jiho,qa.dyn.inst.99020.125025@yopmail.com,Samsung Electronics
QA_DYN_99021,Jung Jiho,qa.dyn.inst.99021.674105@yopmail.com,SK hynix
QA_DYN_99022,Jung Aram,qa.dyn.inst.99022.157289@yopmail.com,SK hynix
QA_DYN_99023,Cho Jiho,qa.dyn.inst.99023.336740@yopmail.com,Lotte Chemical
QA_DYN_99024,Yoon Hyunwoo,qa.dyn.inst.99024.391093@yopmail.com,Lotte Chemical
QA_DYN_99025,Choi Aram,qa.dyn.inst.99025.401218@yopmail.com,LG Electronics
QA_DYN_99026,Kim Minsoo,qa.dyn.inst.99026.383510@yopmail.com,Hyundai Motor
QA_DYN_99027,Jung Haneul,qa.dyn.inst.99027.158603@yopmail.com,Coupang
QA_DYN_99028,Jung Jiyoon,qa.dyn.inst.99028.408391@yopmail.com,Hanwha Solutions
QA_DYN_99029,Yoon Seoyeon,qa.dyn.inst.99029.807758@yopmail.com,Samsung Electronics
QA_DYN_99030,Kang Jiho,qa.dyn.inst.99030.680287@yopmail.com,Kakao
QA_DYN_99031,Yoon Sora,qa.dyn.inst.99031.433931@yopmail.com,Hanwha Solutions
QA_DYN_99032,Park Jiho,qa.dyn.inst.99032.596663@yopmail.com,SK hynix
QA_DYN_99033,Park Minsoo,qa.dyn.inst.99033.484308@yopmail.com,Coupang
